Product Name,Website / Pricing,Brand name,Wyz Categories,G2 Category,G2 SubCategory,Utilisation Type,Plan Type ,Resource ,Top 5 Use Case of the Application,RFQ,,,,More Details from Customer,,,
ClickUp,https://clickup.com/,ClickUp,DW- Productivity Tools,Markup Software,,Per Seat,Business ,,,,Monthly/ Annually,$12,,,,,
ClickUp,https://clickup.com/,ClickUp,DW- Productivity Tools,Markup Software,,Per Seat,Enterprise,,,,Monthly/ Annually,Contact sales,,,,,
Wrike,https://www.wrike.com/vap/,Wrike,DW- Productivity Tools,"Project, Portfolio & Program Management Software",Project Management Software,Per Seat,Free,https://www.wrike.com/vap/pricing,". Project Management: Plan, execute, and monitor projects with Gantt charts, task lists, and Kanban boards.

. Resource Management: Allocate resources efficiently, tracking availability and workload.

. Collaboration: Foster team collaboration with shared task ownership, real-time editing, and discussions.

. Reporting: Generate detailed reports on project status, team performance, and resource utilization.

. Workflow Automation: Automate recurring tasks and processes to increase efficiency and reduce manual effort.",,Monthly,"$0
user/ month",,,,,
Wrike,https://www.wrike.com/vap/,Wrike,DW- Productivity Tools,"Project, Portfolio & Program Management Software",Project Management Software,Per Seat,Team ,,,,Monthly,"$9.80
user/ month",,,,,
Wrike,https://www.wrike.com/vap/,Wrike,DW- Productivity Tools,"Project, Portfolio & Program Management Software",Project Management Software,Per Seat,Business,,,,Monthly,"$24.80
user/ month",,,,,
Wrike,https://www.wrike.com/vap/,Wrike,DW- Productivity Tools,"Project, Portfolio & Program Management Software",Project Management Software,Per Seat,Enterprise,,,,Monthly,Contact sales,,,,,
Wrike,https://www.wrike.com/vap/,Wrike,DW- Productivity Tools,"Project, Portfolio & Program Management Software",Project Management Software,Per Seat,Pinnacle,,,,Monthly,Contact sales,,,,,
Google Looker Studio,https://cloud.google.com/looker-studio,Google,SCS- Analytics,Business Intelligence Software,Data Visualization Tools,Per Seat,Looker Studio Free,https://cloud.google.com/pricing?hl=en,". Data Visualization: Create interactive dashboards and reports to visualize complex data sets.

. Data Integration: Connect to various data sources, including Google Analytics, BigQuery, and SQL databases.

. Real-Time Insights: Monitor real-time data and metrics to make informed business decisions.

. Collaboration: Share and collaborate on reports with team members and stakeholders.

. Custom Reporting: Build customized reports to meet specific business needs and objectives.",,,Contact sales,,,,,
Google Looker Studio,https://cloud.google.com/looker-studio,Google,SCS- Analytics,Business Intelligence Software,Data Visualization Tools,Per Seat,Looker Studio Pro,,,,,Contact sales,,,,,
Zoho Analytics,https://www.zoho.com/analytics/index1.html,ZOHO,SCS- Analytics,Analytics Platforms,,Per Seat,BASIC,https://www.zoho.com/analytics/pricing.html,". Data Analysis: Analyze data from multiple sources with drag-and-drop interface and advanced analytics tools.

. Reporting: Create detailed and customizable reports to gain insights into business performance.

. Data Visualization: Use charts, widgets, and dashboards to visualize data trends and patterns.

. Collaboration: Share reports and dashboards with team members for collaborative analysis.

. Predictive Analytics: Implement predictive analytics to forecast trends and make data-driven decisions.",,Monthly/ Annually,"₹960/ Annually 
₹1,200
/month",,,,,
Zoho Analytics,https://www.zoho.com/analytics/index1.html,ZOHO,SCS- Analytics,Analytics Platforms,,Per Seat,STANDARD,,,,Monthly/ Annually,"₹1,900/Annually 
₹2,400
/month",,,,,
Zoho Analytics,https://www.zoho.com/analytics/index1.html,ZOHO,SCS- Analytics,Analytics Platforms,,Per Seat,PREMIUM,,,,Monthly/ Annually,"₹4,200/ Annually 
₹5,200
/month",,,,,
Zoho Analytics,https://www.zoho.com/analytics/index1.html,ZOHO,SCS- Analytics,Analytics Platforms,,Per Seat,ENTERPRISE,,,,Monthly/ Annually,"₹15,850/ Annually 
₹19,700
/month",,,,,
Zoho Analytics,https://www.zoho.com/analytics/index1.html,ZOHO,SCS- Analytics,Analytics Platforms,,Per Seat,CUSTOM,,,,Monthly/ Annually,Contact sales,,,,,
 Microsoft Teams,https://www.microsoft.com/en-in/microsoft-teams/group-chat-software,Microsoft,DW,Video Conferencing Software,,Per Seat,Microsoft Teams Essentials,https://www.microsoft.com/en-in/microsoft-teams/compare-microsoft-teams-business-options,". Communication: Use chat, voice, and video calls for seamless team communication.

. Collaboration: Collaborate on documents in real-time using integrated Office 365 apps.

. Meetings: Schedule and conduct virtual meetings with screen sharing and recording capabilities.

. Integration: Integrate with third-party apps and services to enhance workflows.

. Project Management: Manage projects with task lists, shared calendars, and file storage.",,Monthly,₹ 115.00 user/month,,,,,
 Microsoft Teams,https://www.microsoft.com/en-in/microsoft-teams/group-chat-software,Microsoft,DW,Video Conferencing Software,,Per Seat,Microsoft 365 Business Basic,,,,Monthly,₹ 145.00 user/month,,,,,
 Microsoft Teams,https://www.microsoft.com/en-in/microsoft-teams/group-chat-software,Microsoft,DW,Video Conferencing Software,,Per Seat,Microsoft 365 Business Standard,,,,Monthly,₹ 770.00 user/month,,,,,
 Zoho Sprints,https://www.zoho.com/sprints/,ZOHO,DW - Productivity Tools,"Project, Portfolio & Program Management Software",Project Management Tools Software,Per Seat,STARTER,https://www.zoho.com/sprints/pricing.html?src=hdd,". Agile Project Management: Manage sprints, backlogs, and epics to ensure agile project delivery.

. Collaboration: Facilitate team collaboration through real-time updates and discussions.

. Time Tracking: Track time spent on tasks to monitor productivity and manage resources.

. Reporting: Generate reports on sprint progress, team performance, and project metrics
.
. Customization: Customize workflows, fields, and statuses to fit specific project needs.",,Monthly/ Annually,"₹70
/user/month billed annually",,,,,
 Zoho Sprints,https://www.zoho.com/sprints/,ZOHO,DW - Productivity Tools,"Project, Portfolio & Program Management Software",Project Management Tools Software,Per Seat,ELITE,,,,Monthly/ Annually,"₹175
/user/month billed annually

₹210
/user/month",,,,,
 Zoho Sprints,https://www.zoho.com/sprints/,ZOHO,DW - Productivity Tools,"Project, Portfolio & Program Management Software",Project Management Tools Software,Per Seat,PREMIER,,,,Monthly/ Annually,"₹350
/user/month billed annually

₹420
/user/month",,,,,
Bitbucket,https://bitbucket.org/product,Atlassian,DW - Productivity Tools,DevOps Software,Version Control Hosting Software,Per Seat,Free,https://www.atlassian.com/software/bitbucket/pricing,". Version Control: Manage source code repositories with Git for version control and collaboration.

. Code Review: Conduct code reviews with pull requests and inline comments to ensure code quality.

. CI/CD Integration: Integrate with continuous integration and delivery pipelines to automate builds and deployments.

. Branch Management: Manage feature branches and workflow strategies to streamline development processes.

. Security: Implement security measures like IP whitelisting, two-factor authentication, and permissions management.",,Monthly,$0 per month,,,,,
Bitbucket,https://bitbucket.org/product,Atlassian,DW - Productivity Tools,DevOps Software,Version Control Hosting Software,Per Seat,Standard,,,,Monthly,"$3
per user",,,,,
Bitbucket,https://bitbucket.org/product,Atlassian,DW - Productivity Tools,DevOps Software,Version Control Hosting Software,Per Seat,Premium,,,,Monthly,"$6
per user",,,,,
TestRail,https://www.testrail.com/,Idear,DPDT,Software Testing Tools,,Per Seat,Professional,https://www.testrail.com/pricing/,". Test Case Management: Organize and manage test cases, suites, and runs to ensure comprehensive test coverage.

. Real-Time Insights: Monitor test execution progress and results in real-time with customizable dashboards.

. Reporting: Generate detailed reports on test results, including metrics like pass/fail rates and coverage.

. Integration: Integrate with CI/CD tools, issue trackers, and other testing tools for seamless workflows.

. Collaboration: Facilitate team collaboration with shared test plans, comments, and notifications.",,Monthly/ Annually,"$408
per year
1 user

$37
per month
1 user",,,,,
TestRail,https://www.testrail.com/,Idear,DPDT,Software Testing Tools,,Per Seat,Enterprise,,,,Monthly/ Annually,"$826
per year
1 user
 ",,,,,
Katalon Studio,https://katalon.com/,Katalon ,DPDT,DevOps Software,Automation Testing Tools,Per Seat,Free,https://katalon.com/pricing,". Automated Testing: Automate web, mobile, API, and desktop application testing using a comprehensive toolset.

. Test Case Management: Design, execute, and manage test cases with an intuitive interface and reusable components.

. Reporting and Analytics: Generate detailed test execution reports and analyze test results for insights.

. CI/CD Integration: Integrate with CI/CD pipelines to automate testing processes within development workflows.

.Keyword-Driven Testing: Utilize a keyword-driven approach to simplify test automation and improve test readability.",,Monthly/ Annually,$0,,,,,
Katalon Studio,https://katalon.com/,Katalon ,DPDT,DevOps Software,Automation Testing Tools,Per Seat,Premium,,,,Monthly/ Annually,"$218
per user /month

175
per user /month (Anually)",,,,,
Katalon Studio,https://katalon.com/,Katalon ,DPDT,DevOps Software,Automation Testing Tools,Per Seat,Ultimate,,,,Monthly/ Annually,Contact Sales,,,,,
Postman,https://www.postman.com/,Postman,DPDT,API Platforms,,Per Seat,Free,https://www.postman.com/pricing,". API Testing: Design, test, and debug APIs using a user-friendly interface and powerful testing tools.

. Automated Testing: Automate API testing with pre-defined test scripts and continuous integration capabilities.

. Collaboration: Share API collections, environments, and test results with team members for collaborative development.

. Mock Servers: Create mock servers to simulate API responses and test applications in isolated environments.

. Documentation: Generate and share comprehensive API documentation to facilitate developer onboarding and usage.",,Monthly/ Annually,$0,,,,,
Postman,https://www.postman.com/,Postman,DPDT,API Platforms,,Per Seat,Basic,,,,Monthly/ Annually,"$14
per user/month, billed annually

$19
per user/month, billed monthly",,,,,
Postman,https://www.postman.com/,Postman,DPDT,API Platforms,,Per Seat,Professional,,,,Monthly/ Annually,"$29
per user/month, billed annually

$39
per user/month, billed monthly",,,,,
Postman,https://www.postman.com/,Postman,DPDT,API Platforms,,Per Seat,Enterprise ,,,,Monthly/ Annually,"$49
per user/month, billed annually",,,,,
Zoho CRM,https://www.zoho.com/en-in/crm/,Zoho,SCS- Sales & Marketing,CRM Software,,Per Seat,Standard,https://www.zoho.com/crm/zohocrm-pricing.html?source_from=crm-header,". Lead Management: Capture, track, and nurture leads through the sales pipeline with automated workflows.

. Contact Management: Maintain a centralized database of contacts, with detailed interaction histories and segmentation

. Sales Automation: Automate sales processes, including follow-ups, task assignments, and approvals, to increase efficiency.

. Analytics and Reporting: Generate detailed sales reports and analytics to gain insights into performance and trends.

. Integration: Connect with other Zoho apps and third-party tools to create a unified business ecosystem.",,Monthly/ Annually,"₹800
/user/month billed annually

₹1,300
/user/month billed monthly",,,,,
Zoho CRM,https://www.zoho.com/en-in/crm/,Zoho,SCS- Sales & Marketing,CRM Software,,Per Seat,Professional,,,,Monthly/ Annually,"₹1,400
/user/month billed annually

₹2,100
/user/month billed monthly",,,,,
Zoho CRM,https://www.zoho.com/en-in/crm/,Zoho,SCS- Sales & Marketing,CRM Software,,Per Seat,Enterprise,,,,Monthly/ Annually,"₹2,400
/user/month billed annually

₹3,000
/user/month billed monthly",,,,,
Zoho CRM,https://www.zoho.com/en-in/crm/,Zoho,SCS- Sales & Marketing,CRM Software,,Per Seat,Ultimate,,,,Monthly/ Annually,"₹2,600
/user/month billed annually

₹3,200
/user/month billed monthly",,,,,
Freshsales,https://www.freshworks.com/crm/sales/,Freshworks,SCS- Sales & Marketing,CRM Software,,Per Seat,Growth,https://www.freshworks.com/crm/pricing/,". Lead Scoring: Automatically score leads based on engagement and behavior to prioritize follow-up actions.

. Contact Management: Manage contacts with detailed profiles, interaction histories, and segmentation capabilities.

. Pipeline Management: Visualize and manage sales pipelines with drag-and-drop functionality and custom stages.

. Email Tracking: Track email opens, clicks, and replies to measure engagement and optimize follow-ups.

. Automation: Automate repetitive sales tasks with workflows and sequences to improve efficiency and consistency.",,Monthly/ Annually,"₹749
/user/month, billed annually

₹899
/user/month, billed monthly",,,,,
Freshsales,https://www.freshworks.com/crm/sales/,Freshworks,SCS- Sales & Marketing,CRM Software,,Per Seat,Pro,,,,Monthly/ Annually,"₹3,239
/user/month, billed annually

₹3,889
/user/month, billed monthly",,,,,
Freshsales,https://www.freshworks.com/crm/sales/,Freshworks,SCS- Sales & Marketing,CRM Software,,Per Seat,Enterprise,,,,Monthly/ Annually,"₹4,899
/user/month, billed annually

₹5,879
/user/month, billed monthly",,,,,
Agile CRM,https://www.agilecrm.com/,Agile CRM,SCS- Sales & Marketing,CRM Software,,Per Seat,Free,https://www.agilecrm.com/pricing,". Contact Management: Centralize contact information with detailed interaction histories and segmentation options.

. Sales Automation: Automate sales workflows, including lead scoring, task assignments, and follow-ups.

. Marketing Automation: Design and execute marketing campaigns with email automation, social media integration, and web forms.

. Customer Service: Manage customer support tickets and interactions to ensure timely resolutions and satisfaction.

. Analytics and Reporting: Generate comprehensive reports on sales, marketing, and service metrics to drive data-driven decisions.",,Monthly,"FREE
For 10 users",,,,,
Agile CRM,https://www.agilecrm.com/,Agile CRM,SCS- Sales & Marketing,CRM Software,,Per Seat,starter,,,,Monthly,$8.99,,,,,
Agile CRM,https://www.agilecrm.com/,Agile CRM,SCS- Sales & Marketing,CRM Software,,Per Seat,Regular,,,,Monthly,$29.99,,,,,
Agile CRM,https://www.agilecrm.com/,Agile CRM,SCS- Sales & Marketing,CRM Software,,Per Seat,Enterprise,,,,Monthly,$47.99,,,,,
Mailshake,https://mailshake.com/,Mailshake,SCS- Sales & Marketing,Sales Acceleration Software,Sales Engagement Software,Per Seat,Starter,https://mailshake.com/pricing,"Email Outreach: Send personalized email campaigns with automated follow-ups to engage prospects effectively.

Email Tracking: Track email opens, clicks, and replies to measure engagement and refine outreach strategies.

Automation: Automate follow-up sequences based on recipient actions to increase response rates.

Templates: Use pre-designed email templates to maintain consistency and save time in campaign creation.

Analytics: Analyze email performance metrics to identify successful strategies and areas for improvement.",,Monthly/ Annually,"$ 29 25
user / month

billed annually

$ 29
user / month",,,,,
Mailshake,https://mailshake.com/,Mailshake,SCS- Sales & Marketing,Sales Acceleration Software,Sales Engagement Software,Per Seat,Email Outreach,,,,Monthly/ Annually,"$45
user / month

billed annually

$ 59
user / month",,,,,
Mailshake,https://mailshake.com/,Mailshake,SCS- Sales & Marketing,Sales Acceleration Software,Sales Engagement Software,Per Seat,Sales Engagement,,,,Monthly/ Annually,"$85
user / month

billed annually

$ 99
user / month",,,,,
Vtiger,https://www.vtiger.com/,Vtiger,SCS- Sales & Marketing,CRM Software,,Per Seat,One Growth,https://www.vtiger.com/pricing,"Contact Management: Manage contacts with detailed profiles, interaction histories, and segmentation capabilities.

Sales Automation: Automate sales processes, including lead scoring, task assignments, and follow-ups, to improve efficiency.

Marketing Automation: Design and execute marketing campaigns with email automation, social media integration, and web forms.

Customer Service: Manage customer support tickets and interactions to ensure timely resolutions and satisfaction.

Analytics and Reporting: Generate detailed reports on sales, marketing, and service metrics to drive data-driven decisions.",,Monthly/ Annually,"BILLED ANNUALLY
INR 840
per month

BILLED MONTHLY
INR 1050
per month",,,,,
Vtiger,https://www.vtiger.com/,Vtiger,SCS- Sales & Marketing,CRM Software,,Per Seat,One Professional,,,,Monthly/ Annually,"BILLED ANNUALLY
INR 2100
per month

BILLED MONTHLY
INR 2940
per month",,,,,
Vtiger,https://www.vtiger.com/,Vtiger,SCS- Sales & Marketing,CRM Software,,Per Seat,One Enterprise ,,,,Monthly/ Annually,"BILLED ANNUALLY
INR 2940
per month

BILLED MONTHLY
INR 4060
per month",,,,,
Vtiger,https://www.vtiger.com/,Vtiger,SCS- Sales & Marketing,CRM Software,,Per Seat,One AI,,,,Monthly/ Annually,"BILLED ANNUALLY
INR 3500
per month

BILLED MONTHLY
INR 4620
per month",,,,,
Apollo.io,https://www.apollo.io/,Apollo.io,SCS- Sales & Marketing,Sales Intelligence Software,,Per Seat,Free,https://www.apollo.io/pricing,"Sales Prospecting: Access a vast database of companies and contacts for targeted sales outreach.

Lead Generation: Identify and qualify potential leads using advanced search filters and data analytics.

Email Sequencing: Create and automate email sequences to nurture leads and increase engagement.

CRM Integration: Sync data with CRM systems to ensure accurate and up-to-date records.

Analytics: Monitor campaign performance and sales metrics to optimize outreach strategies.",,Monthly/ Annually,$0,,,,,
Apollo.io,https://www.apollo.io/,Apollo.io,SCS- Sales & Marketing,Sales Intelligence Software,,Per Seat,Basic,,,,Monthly/ Annually,"Basic
$49
Per user, per month
Billed annually",,,,,
Apollo.io,https://www.apollo.io/,Apollo.io,SCS- Sales & Marketing,Sales Intelligence Software,,Per Seat,Professional,,,,Monthly/ Annually,,,,,,
Apollo.io,https://www.apollo.io/,Apollo.io,SCS- Sales & Marketing,Sales Intelligence Software,,Per Seat,Organization,,,,Monthly/ Annually,,,,,,
Lusha,https://www.lusha.com/,Lusha,SCS- Sales & Marketing,Sales Intelligence Software,,Per Seat,Free ,https://www.lusha.com/pricing,"Contact Enrichment: Enhance contact information with accurate and up-to-date details, including email addresses and phone numbers.

Sales Prospecting: Identify and connect with potential leads using Lusha's extensive database.

Integration: Integrate with CRM systems and sales tools to streamline workflows and data management.

Chrome Extension: Use the browser extension to find contact information directly from social media and other web pages.

Data Accuracy: Ensure high data accuracy and compliance with privacy regulations for effective prospecting.",,,,,,,,
Lusha,https://www.lusha.com/,Lusha,SCS- Sales & Marketing,Sales Intelligence Software,,Per Seat,pro ,,,,,,,,,,
Lusha,https://www.lusha.com/,Lusha,SCS- Sales & Marketing,Sales Intelligence Software,,Per Seat,Premium,,,,,,,,,,
Lusha,https://www.lusha.com/,Lusha,SCS- Sales & Marketing,Sales Intelligence Software,,Per Seat,Scale,,,,,,,,,,
Mailchimp ,https://mailchimp.com/,Mailchimp ,SCS- Sales & Marketing,Email Marketing Software,,Hybrid,Free,https://mailchimp.com/pricing,"Email Campaigns: Design and send email campaigns with customizable templates and advanced segmentation.
Automation: Automate email sequences based on triggers, such as user behavior or specific dates.
Audience Management: Manage subscriber lists with detailed profiles and segmentation capabilities.
Analytics: Track email performance metrics, including open rates, click rates, and conversion rates, to optimize campaigns.
Integrations: Connect with e-commerce platforms, CRM systems, and other tools to enhance marketing efforts.",,,,,,,,
Mailchimp ,https://mailchimp.com/,Mailchimp ,SCS- Sales & Marketing,Email Marketing Software,,Hybrid,Essential ,,,,,,,,,,
Mailchimp ,https://mailchimp.com/,Mailchimp ,SCS- Sales & Marketing,Email Marketing Software,,Hybrid,Standard,,,,,,,,,,
Mailchimp ,https://mailchimp.com/,Mailchimp ,SCS- Sales & Marketing,Email Marketing Software,,Hybrid,Premium,,,,,,,,,,
MoEngage,https://www.moengage.com/,MoEngage,SCS- Sales & Marketing,Mobile Marketing Software,,Per Seat,Growth,https://www.moengage.com/pricing,"Customer Engagement: Design and deliver personalized messaging across multiple channels, including email, push notifications, and SMS.

Automation: Automate engagement workflows based on user behavior and lifecycle stages.

Analytics: Analyze user behavior and campaign performance to gain insights and optimize engagement strategies.

Segmentation: Segment users based on behavior, demographics, and other criteria for targeted messaging.

A/B Testing: Test different campaign variations to determine the most effective strategies and improve engagement.",,,,,,,,
MoEngage,https://www.moengage.com/,MoEngage,SCS- Sales & Marketing,Mobile Marketing Software,,Per Seat,Enterprise,,,,,,,,,,
Brevo,https://www.brevo.com/,Camelot IT Lab,SCS- Sales & Marketing,Email Marketing Software,,Usage Based,Free ,https://www.brevo.com/pricing,"Email Marketing: Create and send email campaigns with customizable templates and segmentation.

SMS Marketing: Design and deliver SMS campaigns for targeted messaging and notifications.

Marketing Automation: Automate marketing workflows based on user behavior and triggers.

Transactional Emails: Send automated transactional emails, such as order confirmations and password resets.

CRM Integration: Sync data with CRM systems to ensure accurate and up-to-date records for marketing efforts.",,,,,,,,
Brevo,https://www.brevo.com/,Camelot IT Lab,SCS- Sales & Marketing,Email Marketing Software,,Usage Based,Starter,,,,,,,,,,
Brevo,https://www.brevo.com/,Camelot IT Lab,SCS- Sales & Marketing,Email Marketing Software,,Usage Based,Business ,,,,,,,,,,
Brevo,https://www.brevo.com/,Camelot IT Lab,SCS- Sales & Marketing,Email Marketing Software,,Usage Based,Enterprise,,,,,,,,,,
WordPress,https://wordpress.com/,WordPress,SCS- Sales & Marketing,Web Content Management Software,,Per Seat,Personal,https://wordpress.com/pricing,"Content Management: Create, edit, and publish content with a user-friendly interface and extensive customization options.

Website Design: Design and customize websites using themes and plugins to match branding and functionality requirements.

E-commerce: Build and manage online stores with WooCommerce integration for product listings, payments, and inventory.

SEO Optimization: Optimize website content for search engines using SEO plugins and best practices.

Blogging: Create and manage blogs with features like categories, tags, and commenting to engage readers.",,,,,,,,
WordPress,https://wordpress.com/,WordPress,SCS- Sales & Marketing,Web Content Management Software,,Per Seat,Premium,,,,,,,,,,
WordPress,https://wordpress.com/,WordPress,SCS- Sales & Marketing,Web Content Management Software,,Per Seat,Business,,,,,,,,,,
WordPress,https://wordpress.com/,WordPress,SCS- Sales & Marketing,Web Content Management Software,,Per Seat,Commerce,,,,,,,,,,
WordPress,https://wordpress.com/,WordPress,SCS- Sales & Marketing,Web Content Management Software,,Per Seat,Cloud,,,,,,,,,,
WordPress,https://wordpress.com/,WordPress,SCS- Sales & Marketing,Web Content Management Software,,Per Seat,Enterprise,,,,,,,,,,
Medium,https://medium.com/,Medium,SCS- Sales & Marketing,,,Per Seat,Member,https://medium.com/pricing,"Content Publishing: Write, edit, and publish articles with a simple and elegant interface for wide distribution.

Audience Engagement: Engage with readers through comments, highlights, and follower interactions.

Storytelling: Share personal stories, insights, and expertise with a large, diverse audience.

Collaboration: Collaborate with other writers and editors to co-author articles and improve content quality.

Monetization: Earn money through the Medium Partner Program by creating engaging and popular content.",,,,,,,,
Medium,https://medium.com/,Medium,SCS- Sales & Marketing,,,Per Seat,Friend,,,,,,,,,,
Buffer,https://buffer.com/,Buffer,SCS- Sales & Marketing,Social Media Marketing Software,Social Media Management Tools,Per Seat,Free ,https://buffer.com/pricing,"Social Media Scheduling: Schedule posts across multiple social media platforms to maintain a consistent online presence.

Content Management: Organize and manage social media content with a visual calendar and content library.

Analytics: Analyze social media performance metrics to measure engagement and optimize strategies.

Team Collaboration: Collaborate with team members on content creation and approval workflows.

Engagement: Monitor and respond to social media interactions to engage with followers and customers effectively.",,,,,,,,
Buffer,https://buffer.com/,Buffer,SCS- Sales & Marketing,Social Media Marketing Software,Social Media Management Tools,Per Seat,Essential ,,,,,,,,,,
Buffer,https://buffer.com/,Buffer,SCS- Sales & Marketing,Social Media Marketing Software,Social Media Management Tools,Per Seat,Team ,,,,,,,,,,
Buffer,https://buffer.com/,Buffer,SCS- Sales & Marketing,Social Media Marketing Software,Social Media Management Tools,Per Seat,Agency,,,,,,,,,,
SEMrush ,https://www.semrush.com/,SEMrush ,SCS- Sales & Marketing,SEO Tools,,Usage Based,Pro,https://www.semrush.com/pricing,"SEO Research: Conduct keyword research, competitor analysis, and site audits to improve search engine rankings.

Content Marketing: Develop and optimize content strategies based on keyword trends and audience insights.

PPC Advertising: Plan and manage pay-per-click campaigns with detailed keyword and competitor data.

Social Media Management: Track and analyze social media performance to optimize engagement and reach.

Reporting: Generate comprehensive reports on SEO, PPC, and content marketing metrics for data-driven decisions.",,,,,,,,
SEMrush ,https://www.semrush.com/,SEMrush ,SCS- Sales & Marketing,SEO Tools,,Usage Based,Guru,,,,,,,,,,
SEMrush ,https://www.semrush.com/,SEMrush ,SCS- Sales & Marketing,SEO Tools,,Usage Based,Business,,,,,,,,,,
Hootsuite ,https://www.hootsuite.com/,Hootsuite ,SCS- Sales & Marketing,Social Media Marketing Software,Social Media Management Tools,Per Seat,Professional,https://www.hootsuite.com/pricing,"Social Media Management: Schedule and publish posts across multiple social media platforms from a single dashboard.

Monitoring: Monitor social media mentions, keywords, and hashtags to stay informed about trends and brand sentiment.

Analytics: Analyze social media performance metrics to measure engagement and optimize strategies.

Team Collaboration: Collaborate with team members on content creation, scheduling, and approval workflows.

Engagement: Respond to social media interactions and messages to engage with followers and customers effectively.",,,,,,,,
Hootsuite ,https://www.hootsuite.com/,Hootsuite ,SCS- Sales & Marketing,Social Media Marketing Software,Social Media Management Tools,Per Seat,Team ,,,,,,,,,,
Hootsuite ,https://www.hootsuite.com/,Hootsuite ,SCS- Sales & Marketing,Social Media Marketing Software,Social Media Management Tools,Per Seat,Enterprise Custom,,,,,,,,,,
Zoho Campaigns,https://www.zoho.com/campaigns/,ZOHO,SCS- Sales & Marketing,Email Marketing Software,,Usage Based,Free,https://www.zoho.com/campaigns/pricing,"Email Marketing: Create and send email campaigns with customizable templates and advanced segmentation.

Automation: Automate email sequences based on user behavior, triggers, and scheduled dates.

Audience Management: Manage subscriber lists with detailed profiles, segmentation, and engagement tracking.

A/B Testing: Test different email versions to determine the most effective subject lines, content, and designs.

Analytics: Track email performance metrics like open rates, click rates, and conversions to optimize campaigns.",,,,,,,,
Zoho Campaigns,https://www.zoho.com/campaigns/,ZOHO,SCS- Sales & Marketing,Email Marketing Software,,Usage Based,Standard,,,,,,,,,,
Zoho Campaigns,https://www.zoho.com/campaigns/,ZOHO,SCS- Sales & Marketing,Email Marketing Software,,Usage Based,Professional,,,,,,,,,,
Drift ,https://www.drift.com/,Salesloft,SCS- Sales & Marketing,Email Marketing Software,,Per Seat,Premium ,https://www.drift.com/pricing,"Live Chat: Engage website visitors in real-time with live chat functionality to answer questions and generate leads.

Chatbots: Use AI-powered chatbots to automate conversations, qualify leads, and book meetings.

Email Marketing: Send personalized email campaigns and follow-ups based on visitor interactions and behavior.

Sales Engagement: Integrate with CRM systems to streamline sales processes and track interactions.

Analytics: Analyze chat and chatbot performance to improve engagement strategies and customer experience.",,,,,,,,
Drift ,https://www.drift.com/,Salesloft,SCS- Sales & Marketing,Email Marketing Software,,Per Seat,Standard,,,,,,,,,,
Drift ,https://www.drift.com/,Salesloft,SCS- Sales & Marketing,Email Marketing Software,,Per Seat,Enterprise,,,,,,,,,,
Typeform ,https://www.typeform.com/,Typeform ,SCS- Sales & Marketing,Online Form Builder Software,,Per Seat,Basic,https://www.typeform.com/pricing,"Survey Creation: Design engaging and interactive surveys with customizable templates and logic jumps.

Lead Generation: Create forms and quizzes to capture leads and gather customer information.

Feedback Collection: Collect customer feedback and insights through surveys, forms, and polls.

Integration: Integrate with CRM systems, email marketing tools, and other apps for seamless data transfer.

Analytics: Analyze responses and generate reports to gain insights and make data-driven decisions.",,,,,,,,
Typeform ,https://www.typeform.com/,Typeform ,SCS- Sales & Marketing,Online Form Builder Software,,Per Seat,Plus,,,,,,,,,,
Typeform ,https://www.typeform.com/,Typeform ,SCS- Sales & Marketing,Online Form Builder Software,,Per Seat,Business,,,,,,,,,,
Typeform ,https://www.typeform.com/,Typeform ,SCS- Sales & Marketing,Online Form Builder Software,,Per Seat,Enterprise,,,,,,,,,,
HelpCrunch,https://helpcrunch.com/,HelpCrunch,SCS- Customer Service,Live Chat Software,,Per Seat,Basic,https://helpcrunch.com/pricing,"Live Chat: Provide real-time support and engage with website visitors through live chat functionality.

Email Marketing: Send automated email campaigns and follow-ups based on customer interactions and behavior.

Knowledge Base: Create and manage a self-service knowledge base to help customers find answers quickly.

Ticketing System: Manage customer support tickets efficiently with automated workflows and prioritization.

Analytics: Track performance metrics and generate reports to improve support and engagement strategies.",,,,,,,,
HelpCrunch,https://helpcrunch.com/,HelpCrunch,SCS- Customer Service,Live Chat Software,,Per Seat,Pro,,,,,,,,,,
HelpCrunch,https://helpcrunch.com/,HelpCrunch,SCS- Customer Service,Live Chat Software,,Per Seat,Unlimited,,,,,,,,,,
Zendesk,https://www.zendesk.com/in/,Zendesk,SCS- Customer Service,Help Desk Software,,Per Seat,Suite Team,https://www.zendesk.com/in/pricing,"Ticketing System: Organize and manage customer support tickets with a robust ticketing system.

Knowledge Base: Create and maintain a self-service knowledge base to help customers find answers quickly.

Live Chat: Provide real-time support and engage with customers through live chat functionality.

Automation: Automate support processes with triggers, macros, and workflows to improve efficiency.

Reporting and Analytics: Generate detailed reports on support metrics, agent performance, and customer satisfaction.",,,,,,,,
Zendesk,https://www.zendesk.com/in/,Zendesk,SCS- Customer Service,Help Desk Software,,Per Seat,Suite Growth,,,,,,,,,,
Zendesk,https://www.zendesk.com/in/,Zendesk,SCS- Customer Service,Help Desk Software,,Per Seat,Suite Professional,,,,,,,,,,
Zendesk,https://www.zendesk.com/in/,Zendesk,SCS- Customer Service,Help Desk Software,,Per Seat,Suite Enterprise,,,,,,,,,,
